Method;Description;Key Characteristics;Limitations;Application
Delphi;Structured expert consultation to gather and distil knowledge and judgments;Iterative rounds of surveys/questionnaires, Expert consensus building;Time-consuming process, May be influenced by dominant opinions or group dynamics;Policy development, Technology foresight, Long-term planning
MCA;Decision-support technique to evaluate and rank scenarios based on criteria;Consideration of multiple dimensions in quantifying qualitative factors;Policy assessment, Project evaluation, Strategic planning;
Forecasting;Use of historical data and statistical methods to predict future trends;Reliance on quantitative models, Time series analysis;Assumption of future patterns based on past data, Sensitivity to data quality and accuracy;Economic forecasting, Demand/supply projections, Financial planning
Backcasting;Working backward from a desired future vision to identify necessary steps;Focus on desired outcomes and future targets, Identification of necessary actions;Uncertainty in future outcomes, Difficulty in determining feasible pathways;Sustainable development planning, Policy design, Long-term goal setting
Scenario Planning;Development of multiple future scenarios to understand the range of possibilities;Identification of key drivers and uncertainties, Narrative construction for each scenario;Subjectivity in scenario construction, Lack of predictive accuracy;Strategic management, Risk assessment, Policy analysis
Morphological Analysis;Exploration of different combinations of variables/factors;Matrix-based exploration of variables and combinations;Complexity in analysing a large number of variables and combinations;Technology assessment, Innovation analysis, System design
Cross-Impact Analysis;Analysis of interdependencies and interactions between variables/factors;Identification of relationships and cross-impacts;Assumptions about causal relationships, Difficulty in capturing complex dynamics;Policy analysis, Risk assessment, System modelling
Morphological Box;Systematic exploration of the potential combinations of different components;Identification of component options and combinations;Complexity in analysing a large number of components and combinations;Technology assessment, Innovation analysis, Decision-making
Gausemeier approach;Scenario development method involving the identification of future developments, evaluation of influencing factors, and determination of desired and undesired developments;Systematic analysis of future developments and factors;Relies on expert judgment and subjective assessments;Strategic planning, Innovation management
Schwartz' 8-Step Scenario Model;Scenario building model consisting of eight steps: identify the focal issue, determine the key forces, construct the scenario framework, identify driving forces, assess the uncertainties, develop the scenarios, analyze the scenarios, and monitor and adjust the scenarios;Systematic progression through stages of scenario development;Requires detailed data and analysis;Strategic planning, Decision-making
Schoemaker's 10-Step Scenario Model;Scenario building model consisting of ten steps: identify the focal issue, determine the scope, identify the key driving forces, develop the scenarios, define the scenario logic, assess the scenarios, refine the scenarios, examine implications, formulate actions, and communicate results;Emphasis on thorough analysis and evaluation of scenarios;Can be time-consuming and resource-intensive;Strategic planning, Risk management
