,,,,,Name,,,EU levers (examples),,,,,
,,,,,,,,,,,,,
,,,,,EU self-sufficiency for raw materials,,,Raw Materials Initiative; Resource Efficiency Roadmap,,,,,
,,,,,Green public procurement,,,Public Procurement Strategy; EU support schemes and voluntary criteria for green public procurement,,,,,
,,,,,Waste generation,,,Waste Framework Directive; directives on specific waste streams; Strategy for Plastics,,,,,
,,,,,,,,,,,,,
,,,,,Overall recycling rates,,,Waste Framework Directive,,,,,
,,,,,Recycling rates for specific waste streams,,,Waste Framework Directive; Landfill Directive; directives on specific waste streams,,,,,
,,,,,,,,,,,,,
,,,,,Contribution of recycled materials to raw materials demand,,,"Waste Framework Directive; Eco-design Directive; EU Ecolabel; REACH; initiative on the interface between chemicals, products and waste policies; Strategy for Plastics; quality standards for secondary raw materials",,,,,
,,,,,Trade in recyclable raw materials,,,Internal Market policy; Waste Shipment Regulation; Trade policy,,,,,
,,,,,,,,,,,,,
,,,,,"Private investments, jobs and gross value added",,,Investment Plan for Europe; Structural and Investment Funds; InnovFin; Circular Economy Finance Support Platform; Sustainable Finance Strategy; Green Employment Initiative; New Skills Agenda for Europe; Internal Market policy,,,,,
,,,,,Patents,,,Horizon 2020,,,,,
,,,,,,,,,,,,,
,,,Indicator,Relevance,Relevant EU Targets or Actions,Latest figures,,,,,,,
Production and consumption,1,%),1. EU self-sufficiency for raw materials (%),"The circular economy should help to address the supply risks for raw materials, in particular critical raw materials.",None,N/A,,,,,,,
,2,,2. Green public procurement (GPP),Public procurement accounts for a large share of consumption and can drive the circular economy.,Only an indicative 50% GPP target (COM/2008/400),N/A,,,,,,,
,3a,,3a. Generation of municipal waste per capita (kg per capita),In a circular economy waste generation is minimised.,No targets but Member State’s waste prevention programmes are encouraged to include measures in this regard,492 kg/capita (2018),,,,,,,
,3b,,3b. Generation of waste excluding major mineral wastes per GDP (unit),,No targets but Member State’s waste prevention programmes are encouraged to include measures in this regard,66 kg per thousand euros (2018),,,,,,,
,3c,,3c. Generation of waste excluding mineral wastes per domestic material consumption (%),,No targets but Member State’s waste prevention programmes are encouraged to include measures in this regard,12,,8% (2018),,,,,
Waste management,5a,,5a. Recycling rate municipal waste (%),Increasing recycling is part of the transition to a circular economy.,Recycling targets and measures set in Directive (EU) 2018/851 (see table 5),47,,5% (2016),,,,,
,5b,,5b. Recycling rate excluding major mineral waste (%),This reflects the progress in recycling key waste streams.,No explicit targets or actions.,56% (2016),,,,,,,
,6d,,6d. E-waste (%),,Target of Directive (2012/19/EU): 65% collection rate by 2019,34,,8% (2018),,,,,
,6c,,6c. Bio-waste (%),,No explicit target but Bio-waste must be separated and recycled at source or separately collected by end-of 2023 Directive (EU) 2018/851, article 22:,,83 kg/capita (2018),,,,,
,6f,,6f. Construction and demolition waste (%),,Target of old Waste Framework Directive (2008/98/EC): 70% of construction and demolition waste recycled or recovered (including backfilling) by 2020,88% (2018),,,,,,,
Secondary raw materials,7a,,7a. End of life recycling input rates (EOL-RIR) (%),"In a circular economy, secondary raw materials are commonly used to make new products.",No targets but member states are encouraged to develop measures to increase the share of secondary materials in total material demand,N/A,,,,,,,
,7b,,7b. Circular material use rate (%),,No targets but member states are encouraged to develop measures to increase the share of secondary materials in total material demand,11,,2% (2017),,,,,
,8,,8. Trade in recyclable raw materials,Trade in recyclables reflects the importance of the internal market and global participation in the circular economy.,No targets, limited strengthening of export requirements outside the EU (Directive (EU) 2018/851) and facilitation of trade of fertilizers within EU (Regulation 2019/1009),,Imports from non-EU countries: 8,9 million tonnes (2019), Exports to non-EU countries: 2,5 million tonnes (2019), Intra EU trade: 4,"9 million tonnes (2019)"""
Competitiveness and innovation,9a,,9a. Gross investment in tangible goods (% GDP),,No explicit targets or actions.,1,,12% (2017),,,,,
,9b,,9b. Persons employed (% of total employment),This reflects the contribution of the circular economy to the creation of jobs and growth.,No targets, some financial mechanisms in place to help transition to a CE (10 billion invested from 2015 to 2019),,0,"96% (2017)""",,,,
,10,,10. Patents,Innovative technologies related to the circular economy boost the EU’s global competitiveness.,Number of patents related to recycling and secondary raw materials,337 patents (2015),,,,,,,
